6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
6,11,0,0,46,59,0,74,0
3,0,28,37,0,54,0,0,81
0,0,26,33,0,0,66,79,83
